Bear,Datetime_behavior_starts,Datetime_behavior_ends,Behavior,Comments
1,4/8/2014 4:18:03,4/8/2014 4:18:33,laying,resting
1,4/8/2014 4:20:03,4/8/2014 4:20:33,laying,resting
1,4/8/2014 4:22:03,4/8/2014 4:22:33,laying,resting
1,4/8/2014 4:24:03,4/8/2014 4:24:33,laying,resting
1,4/8/2014 4:26:03,4/8/2014 4:26:33,laying,resting
1,4/8/2014 4:28:03,4/8/2014 4:28:33,laying,resting
1,4/8/2014 4:30:03,4/8/2014 4:30:33,laying,resting
1,4/8/2014 4:32:03,4/8/2014 4:32:33,laying,resting
1,4/8/2014 4:34:03,4/8/2014 4:34:33,laying,resting
1,4/8/2014 4:36:03,4/8/2014 4:36:33,laying,resting
1,4/8/2014 4:38:03,4/8/2014 4:38:33,laying,resting
1,4/8/2014 4:40:03,4/8/2014 4:40:33,laying,resting
1,4/8/2014 4:42:03,4/8/2014 4:42:33,laying,resting
1,4/8/2014 4:44:03,4/8/2014 4:44:33,laying,resting
1,4/8/2014 4:46:03,4/8/2014 4:46:33,laying,resting
1,4/8/2014 4:48:03,4/8/2014 4:48:33,laying,resting
1,4/8/2014 4:50:03,4/8/2014 4:50:33,laying,resting
1,4/8/2014 4:52:03,4/8/2014 4:52:33,laying,resting
1,4/8/2014 4:54:03,4/8/2014 4:54:33,laying,resting
1,4/8/2014 4:56:03,4/8/2014 4:56:33,laying,resting
1,4/8/2014 4:58:03,4/8/2014 4:58:32,laying,resting
1,4/8/2014 16:00:22,4/8/2014 16:01:12,digging,digging in ice
1,4/8/2014 16:02:32,4/8/2014 16:03:22,digging,digging in ice
1,4/8/2014 16:04:23,4/8/2014 16:05:23,digging,digging in ice
1,4/8/2014 16:06:23,4/8/2014 16:07:23,laying,head movement
1,4/8/2014 16:08:23,4/8/2014 16:09:23,laying,some head movement
1,4/8/2014 16:10:23,4/8/2014 16:11:23,laying,resting
1,4/8/2014 16:12:23,4/8/2014 16:13:23,laying,some head movement
